epoch,loss,avg_reward,baseline_variance,penalty_ratio,max_memory_load_percent,val_reward
1,-16.700966607159376,58.5114192735672,35747.38564511719,0.0,nan,
2,-17.988013432646124,45.86459497280121,35728.61107880859,0.0,nan,
3,162.82916539101453,1868.849592395401,291410.17068869626,0.0,nan,
4,109.2333616513839,1738.4911799301146,253760.66414375,0.0,nan,
5,94.06830160990498,1899.7465313087464,252047.20646149904,0.0,nan,1212.2311850055573
6,101.85168995151813,1864.9870361732483,253288.38636629638,0.0,nan,
7,92.60590354385918,1902.4400151351929,261076.97178936767,0.0,nan,
8,72.29072438095419,1864.019769657898,237778.0312083252,0.0,nan,
9,63.79513825282762,1957.8164460994722,238440.89604466248,0.0,nan,
10,56.50704292551726,1890.5735193195344,246684.37974689942,0.0,nan,1465.2094913913359
11,59.22046113500656,1910.7604085559844,245163.75922497862,0.0,nan,
12,48.44576232577595,1902.4308558036805,245847.1085843506,0.0,nan,
13,56.785789621451826,1955.3892546447753,247159.2842021179,0.0,nan,
14,50.692865482811754,1799.3420189800263,217321.36258356323,0.0,nan,
15,34.03451950499654,1950.5105800905228,240750.86806901856,0.0,nan,1374.9452949646982
16,43.187155129254236,1845.6036835317611,244698.8684302002,0.0,nan,
17,47.710908010608506,1862.609662118721,219224.66989626465,0.0,nan,
18,23.92364309891506,1885.8635573318481,226286.49745090026,0.0,nan,
19,38.40821039879036,1846.212491708374,233594.12832410735,0.0,nan,
20,27.05007109165536,1870.5040671806335,228550.91714406738,0.0,nan,1291.7342485920076
21,33.14719883344471,1822.7595381872177,240966.28496539308,0.0,nan,
22,27.551006897270295,1841.536851107025,232307.5769123291,0.0,nan,
23,42.7058148901556,1988.935806629944,240608.81052797852,0.0,nan,
24,45.05503543929874,1893.8359556671141,216080.66713695068,0.0,nan,
25,40.11816009560768,1889.3137550296783,223728.3910423462,0.0,nan,1407.4930316248247
26,45.416559254500086,1928.6715575614928,247234.71375913086,0.0,nan,
27,34.63143719900143,2016.7202542510986,241466.70704033202,0.0,nan,
28,37.30250621698809,1852.0742018030821,230450.63318603515,0.0,nan,
29,45.34664832918178,1983.4413584871293,241241.25026418458,0.0,nan,
30,44.57467123764631,1860.277276912689,227801.93038271484,0.0,nan,1193.324933451991
31,38.14473702426669,1936.6620333610535,241020.67109628906,0.0,nan,
32,36.455386193345056,1867.5365239467621,235944.87428110352,0.0,nan,
33,33.78343592175453,1891.7882318473817,222918.55601809692,0.0,nan,
34,41.04624700522086,1925.8639083984374,235962.42921182557,0.0,nan,
35,24.407576284497452,1867.413101760292,214571.03505940552,0.0,nan,1300.6399927908374
36,27.929406844061905,1949.7543172035216,218936.54093244628,0.0,nan,
37,32.10167279838932,1829.2477779983521,225663.8754326599,0.0,nan,
38,38.14842244559203,1913.409573426819,238259.423029541,0.0,nan,
39,35.51927655998977,1911.824181666565,222825.68420708008,0.0,nan,
40,27.413537163024767,1878.3437537521363,227541.3145585083,0.0,nan,1170.3522439541357
41,35.1514604077795,1892.3399731399536,233475.2233919403,0.0,nan,
42,30.611273422394063,1940.2180771652222,235723.49940456543,0.0,nan,
43,30.798534737942834,1968.211819934082,230294.51106669923,0.0,nan,
44,31.953752695156226,1889.0157204715729,232018.1529065918,0.0,nan,
45,35.06420303726053,1945.5851350387572,229509.5053849304,0.0,nan,1173.9228139385102
46,30.369783833422442,1974.7632096923828,246627.96886364135,0.0,nan,
47,22.5104797746802,1994.4408263580322,228560.90883432006,0.0,nan,
48,21.46921866510648,1901.0676981414795,227179.91456553954,0.0,nan,
49,35.09377058163415,1914.2089572891236,224539.93522995606,0.0,nan,
50,28.074399689958476,1888.855102456665,239400.9080746582,0.0,nan,1333.7617905678287
51,-4.028942235544324,103.96055921516418,28415.3333046875,0.0,nan,
52,-6.502698526196927,85.78551655616761,31905.80995878906,0.0,nan,
53,28.778448634810932,2035.508340964508,249331.79181644288,0.0,nan,
54,29.765727678244822,1861.345539750099,223813.58367775878,0.0,nan,
55,31.147792954664666,2013.8918967285156,229183.6290555725,0.0,nan,1204.3444352995964
56,27.581219943365873,1950.1945458572388,225338.87599072265,0.0,nan,
57,27.814156565951066,1990.9524961366653,230279.47713549805,0.0,nan,
58,21.830919044701197,1926.85957106781,219488.73311865234,0.0,nan,
59,25.73182655666161,2024.0888630386353,236757.09142667847,0.0,nan,
60,34.9099121690155,1958.9286727264405,235302.1311938965,0.0,nan,1445.924012184143
61,35.17126078647267,1979.6036381958008,230098.34702424315,0.0,nan,
62,22.416992457134562,1965.1151246580123,234224.22227192382,0.0,nan,
63,28.70030485811292,2006.5784543182374,235513.59544584656,0.0,nan,
64,33.61258893274455,1847.819797252083,207740.4150227478,0.0,nan,
65,30.303193267663843,2002.3959669157027,236006.51058319703,0.0,nan,1314.3604140743132
66,23.001219506445764,1892.7260675491334,236452.3648077263,0.0,nan,
67,20.78041857893709,1903.1424007369994,209179.22987651368,0.0,nan,
68,21.39590186892156,1934.1557531990052,223726.90475085753,0.0,nan,
69,23.86305556027308,1898.72491232605,227075.21824664765,0.0,nan,
70,21.806173148216168,1919.8621475639343,224203.22313799438,0.0,nan,1271.2509880988828
71,35.1134937514641,1866.2505416431427,228530.94928411866,0.0,nan,
72,32.429213927252846,1894.9701909783364,233638.11667004394,0.0,nan,
73,33.27357951175328,2037.0999674537659,236753.77324536134,0.0,nan,
74,43.01162802504322,1941.4851354415894,223049.03252817382,0.0,nan,
75,38.95657777229381,1931.933541773987,227306.85327607422,0.0,nan,1392.9906061849285
76,-9.688574041593075,143.16222810611725,29457.85556875,0.0,nan,
77,-9.311174456250667,133.90727196121216,29977.37192607422,0.0,nan,
78,43.2339041225909,2064.4495421034485,241960.17717685548,0.0,nan,
79,47.05027861752821,1892.6245404541016,232128.59332974855,0.0,nan,
80,40.557321037775665,2035.8509186676026,228309.63015753173,0.0,nan,1187.0699609171959
81,32.19128097353169,1848.0495204336166,215090.49332650146,0.0,nan,
82,38.21172972318498,2015.6035567256927,237530.0237133789,0.0,nan,
83,29.41173893751126,1953.8008052032471,219150.21034297487,0.0,nan,
84,39.94834736167992,2052.498063633728,236073.61887231446,0.0,nan,
85,38.831311397345765,2003.2397311096192,239413.60470024415,0.0,nan,1215.541646711288
86,38.27391715809576,2009.5656934036256,239619.65211224364,0.0,nan,
87,32.22830832199721,1982.1072532596588,233750.15526643067,0.0,nan,
88,36.401394897716166,2072.8388539764405,247007.61780073243,0.0,nan,
89,27.276404119997164,1895.6291778503419,207468.56968746337,0.0,nan,
90,41.27577693967711,2024.6012329345704,238068.90683433838,0.0,nan,1298.452003848168
91,38.19678840182445,1953.7890581367492,238356.43499854582,0.0,nan,
92,33.198839275954334,1943.988229524231,220649.5097474243,0.0,nan,
93,42.261319888991814,1966.9704821968078,234098.6096192627,0.0,nan,
94,35.55039608962122,1949.0228951509475,235295.21522514647,0.0,nan,
