epoch,loss,elapsed_seconds,eta_seconds,progress_percent,num_samples,method,candidate_source
1,4.52316795463433,12.08653736114502,12074.450823783875,0.1,3378,ffcg,ga
2,0.8467465336537446,24.090102434158325,12020.961114645004,0.2,3378,ffcg,ga
3,0.4341700109490128,35.40565323829651,11766.478759527206,0.3,3378,ffcg,ga
4,0.11203217152643064,47.484413385391235,11823.618932962418,0.4,3378,ffcg,ga
5,0.04315462278595306,59.45963215827942,11832.466799497604,0.5,3378,ffcg,ga
6,0.06967757967653244,71.52510714530945,11849.3260837396,0.6,3378,ffcg,ga
7,0.03893182668728576,83.61842966079712,11861.871521881649,0.7000000000000001,3378,ffcg,ga
8,0.08982009522132439,94.952721118927,11774.137418746948,0.8,3378,ffcg,ga
9,0.020263137233670455,106.39450025558472,11715.21663925383,0.8999999999999999,3378,ffcg,ga
10,0.355857136047343,118.61461997032166,11742.847377061844,1.0,3378,ffcg,ga
11,0.16531482951947324,130.693208694458,11750.507581710815,1.0999999999999999,3378,ffcg,ga
12,0.36652216060678633,142.55000138282776,11736.616780519485,1.2,3378,ffcg,ga
13,0.4085003757710866,153.74041724205017,11672.445524454117,1.3,3378,ffcg,ga
14,0.02594913116324342,165.43944120407104,11651.66350194386,1.4000000000000001,3378,ffcg,ga
15,0.12707246058134763,177.86804485321045,11680.001612027487,1.5,3378,ffcg,ga
16,0.01713870234724173,190.25646233558655,11700.772433638573,1.6,3378,ffcg,ga
17,0.10174125941159383,202.71744012832642,11721.837861537933,1.7000000000000002,3378,ffcg,ga
18,0.12494325721520011,214.33384203910828,11693.10182680024,1.7999999999999998,3378,ffcg,ga
19,0.10454125579602046,225.7819128036499,11657.476655809503,1.9,3378,ffcg,ga
20,0.019370706340735844,238.03517723083496,11663.723684310913,2.0,3378,ffcg,ga
21,0.006155044679062299,250.1483235359192,11661.676606745947,2.1,3378,ffcg,ga
22,0.03966648643589323,262.2971019744873,11660.29844232039,2.1999999999999997,3378,ffcg,ga
23,0.011193267404066638,274.3279023170471,11652.972198424131,2.3,3378,ffcg,ga
24,0.024070595566079232,285.63551664352417,11615.844343503317,2.4,3378,ffcg,ga
25,0.012387837845513056,297.4455258846283,11600.375509500504,2.5,3378,ffcg,ga
26,0.05560051863102433,309.2259588241577,11584.080149797293,2.6,3378,ffcg,ga
27,0.0056989834914427774,321.3763630390167,11581.451897665307,2.7,3378,ffcg,ga
28,0.016473416227272292,333.4353904724121,11574.971412113735,2.8000000000000003,3378,ffcg,ga
29,0.007339645503491545,344.53267216682434,11535.90429910298,2.9000000000000004,3378,ffcg,ga
30,0.0061060442794510904,356.29785203933716,11520.297215938568,3.0,3378,ffcg,ga
31,0.04395919559990674,368.2496862411499,11510.772450570137,3.1,3378,ffcg,ga
32,0.10638591414801005,380.281635761261,11503.519481778145,3.2,3378,ffcg,ga
33,0.012138993121163906,392.282648563385,11495.070338205856,3.3000000000000003,3378,ffcg,ga
34,0.005220460709744235,403.98563528060913,11477.94481414907,3.4000000000000004,3378,ffcg,ga
35,0.008083569628054118,415.3608319759369,11452.091510193688,3.5000000000000004,3378,ffcg,ga
36,0.006576770875568612,427.22899198532104,11440.24300760693,3.5999999999999996,3378,ffcg,ga
37,0.21581282932561116,439.11645698547363,11428.895893973273,3.6999999999999997,3378,ffcg,ga
38,0.003214075286302774,450.94062995910645,11415.918053175274,3.8,3378,ffcg,ga
39,0.014939924317172573,462.51743149757385,11396.903888953038,3.9,3378,ffcg,ga
40,0.003352706800712473,473.8187298774719,11371.649517059326,4.0,3378,ffcg,ga
41,0.013716792656350207,485.71938252449036,11361.094825389908,4.1000000000000005,3378,ffcg,ga
42,0.005688368338431004,497.6155514717102,11350.373769283295,4.2,3378,ffcg,ga
43,0.006301569294759645,509.6589560508728,11342.874905597333,4.3,3378,ffcg,ga
44,0.0031176461099020284,521.6712985038757,11334.49457658421,4.3999999999999995,3378,ffcg,ga
45,0.019220733897335626,533.0194454193115,11311.857119454278,4.5,3378,ffcg,ga
46,0.0016915635851785786,544.2104122638702,11286.450723907223,4.6,3378,ffcg,ga
47,0.017066630350251282,556.1044502258301,11275.90512904715,4.7,3378,ffcg,ga
48,0.009567196648645292,568.0636823177338,11266.596365968386,4.8,3378,ffcg,ga
49,0.10038485730117178,579.9240167140961,11255.259997859293,4.9,3378,ffcg,ga
50,0.16391282310005834,591.8033187389374,11244.26305603981,5.0,3378,ffcg,ga
51,1.346643792362706,602.9567487239838,11219.72459880511,5.1,3378,ffcg,ga
52,0.006786507641058553,614.7210750579834,11206.838060672468,5.2,3378,ffcg,ga
53,0.0014376692686116793,626.732604265213,11198.41087243692,5.3,3378,ffcg,ga
54,0.003523410600438718,638.6123309135437,11187.541945263192,5.4,3378,ffcg,ga
55,0.005278115508140456,650.6756513118744,11179.79073617675,5.5,3378,ffcg,ga
56,0.0032095327311876375,661.5182254314423,11151.307228701455,5.6000000000000005,3378,ffcg,ga
57,0.006170464011065393,673.0392355918884,11134.6666519851,5.7,3378,ffcg,ga
58,0.9972761627715967,685.019898891449,11125.668013030085,5.800000000000001,3378,ffcg,ga
59,0.26181628295165654,696.8774542808533,11114.604821665813,5.8999999999999995,3378,ffcg,ga
60,0.016944844587966152,708.7995791435242,11104.526739915213,6.0,3378,ffcg,ga
61,0.1308771123064313,719.940000295639,11082.355086518115,6.1,3378,ffcg,ga
62,0.005305270255957877,731.3061547279358,11063.954405400062,6.2,3378,ffcg,ga
63,0.009692449038013912,743.0883529186249,11051.964868011928,6.3,3378,ffcg,ga
64,0.009315722038662648,754.9106650352478,11040.5684761405,6.4,3378,ffcg,ga
65,0.003023045418112296,766.7637555599213,11029.601714592713,6.5,3378,ffcg,ga
66,0.18326020629883658,778.007482290268,11009.984673622883,6.6000000000000005,3378,ffcg,ga
67,0.14007206739797465,789.3585693836212,10992.112615446546,6.7,3378,ffcg,ga
68,0.002884249880451493,801.176275730133,10980.827779124764,6.800000000000001,3378,ffcg,ga
69,0.008350184900664071,812.9624443054199,10969.101965918057,6.9,3378,ffcg,ga
70,0.011766262922438295,824.856479883194,10958.807518448148,7.000000000000001,3378,ffcg,ga
71,0.017463319672609633,836.5313177108765,10945.599917653582,7.1,3378,ffcg,ga
72,0.011332862553438608,847.7204103469849,10926.174177805584,7.199999999999999,3378,ffcg,ga
73,0.0031085619485013215,859.7682235240936,10917.87867406623,7.3,3378,ffcg,ga
74,0.002504544897606206,871.8435168266296,10909.825629479177,7.3999999999999995,3378,ffcg,ga
75,0.002163943607064258,883.9233989715576,10901.721920649212,7.5,3378,ffcg,ga
76,0.009925602758061314,896.0003712177277,10893.478197436583,7.6,3378,ffcg,ga
77,0.004856546922812465,907.068318605423,10873.03971523124,7.7,3378,ffcg,ga
78,0.01278928006274119,918.638833284378,10858.78210625893,7.8,3378,ffcg,ga
79,0.004419557110796297,930.596791267395,10849.109427307225,7.9,3378,ffcg,ga
80,0.5778081573153083,942.582334280014,10839.696844220161,8.0,3378,ffcg,ga
81,0.009405024005332427,954.6511580944061,10831.1656085032,8.1,3378,ffcg,ga
82,0.020950948437171716,966.1613392829895,10816.294017826638,8.200000000000001,3378,ffcg,ga
83,0.176919821126014,977.5071995258331,10799.687975484205,8.3,3378,ffcg,ga
84,0.0007804541104799636,989.6531417369843,10791.9318789414,8.4,3378,ffcg,ga
85,0.0026336225158957566,1001.7747654914856,10783.810710878932,8.5,3378,ffcg,ga
86,0.03287374533370052,1014.3464770317078,10780.380000081173,8.6,3378,ffcg,ga
87,0.004660232214133301,1026.8518590927124,10776.043073007431,8.7,3378,ffcg,ga
88,0.026567525875735323,1038.3024411201477,10760.588935245169,8.799999999999999,3378,ffcg,ga
89,0.0007127470377054122,1050.0991110801697,10748.767305550951,8.9,3378,ffcg,ga
90,0.007460407444115664,1062.1673364639282,10739.691957579718,9.0,3378,ffcg,ga
91,0.005708367377837922,1074.0383791923523,10728.58117237196,9.1,3378,ffcg,ga
92,0.0012124124360916142,1086.7293038368225,10725.545737867771,9.2,3378,ffcg,ga
93,0.2694476947774375,1099.5543837547302,10723.611032962799,9.3,3378,ffcg,ga
94,1.2701573099201717,1111.6055088043213,10713.985010390586,9.4,3378,ffcg,ga
95,0.025116554249569947,1123.4368710517883,10702.214403177562,9.5,3378,ffcg,ga
96,0.000701348553063824,1136.0008506774902,10697.3413438797,9.6,3378,ffcg,ga
97,0.00680885718007749,1148.4296598434448,10691.051369470419,9.700000000000001,3378,ffcg,ga
98,0.0006298741387754853,1161.0940403938293,10686.804330971776,9.8,3378,ffcg,ga
99,0.0006259465751601346,1173.6718056201935,10681.598958220144,9.9,3378,ffcg,ga
100,7.54908176098659,1185.7822527885437,10672.040275096893,10.0,3378,ffcg,ga
101,2.3541435397040944,1197.5659852027893,10659.522977201064,10.100000000000001,3378,ffcg,ga
102,0.0006697030194012024,1209.6640210151672,10649.78716540804,10.2,3378,ffcg,ga
103,0.003277340972463444,1221.7644338607788,10640.026186146782,10.299999999999999,3378,ffcg,ga
104,0.13315888031589465,1233.9216475486755,10630.709578880898,10.4,3378,ffcg,ga
105,0.005437600010494767,1245.9685909748077,10620.3989421186,10.5,3378,ffcg,ga
106,0.17053665069951285,1257.4909982681274,10605.631626902887,10.6,3378,ffcg,ga
107,0.011749585119825925,1269.0068943500519,10590.870622940152,10.7,3378,ffcg,ga
108,0.0009023641437801219,1281.2298023700714,10582.009108463923,10.8,3378,ffcg,ga
109,0.003661784504522639,1293.3213229179382,10572.011914861312,10.9,3378,ffcg,ga
110,0.40465781562347675,1305.3664894104004,10561.601596138695,11.0,3378,ffcg,ga
111,0.00063939991031685,1317.52219414711,10552.04712249352,11.1,3378,ffcg,ga
112,0.0006326678043103925,1328.6526591777802,10534.3175120524,11.200000000000001,3378,ffcg,ga
113,0.009884545483384697,1340.528385400772,10522.554671243228,11.3,3378,ffcg,ga
114,0.07254958367005725,1352.6391336917877,10512.616425008104,11.4,3378,ffcg,ga
115,0.017405546342234065,1364.6347935199738,10501.754715349363,11.5,3378,ffcg,ga
116,0.0048098544272101315,1376.9519681930542,10493.323619678102,11.600000000000001,3378,ffcg,ga
117,0.0034625224511924445,1388.846054315567,10481.63304239868,11.700000000000001,3378,ffcg,ga
118,0.000669277955203484,1400.3491389751434,10467.016445559972,11.799999999999999,3378,ffcg,ga
119,0.007638455268976003,1412.5138022899628,10457.35008249964,11.899999999999999,3378,ffcg,ga
120,0.003916234879603396,1424.5539302825928,10446.728822072348,12.0,3378,ffcg,ga
121,0.0007420503839739913,1436.797610759735,10437.562808742208,12.1,3378,ffcg,ga
122,0.0006293849049410409,1448.9032442569733,10427.352856210022,12.2,3378,ffcg,ga
123,0.0006268064186550088,1460.566682100296,10413.959188633818,12.3,3378,ffcg,ga
124,0.057640859565547646,1471.925269126892,10398.439804477077,12.4,3378,ffcg,ga
125,0.003460274111271775,1483.9965274333954,10387.975692033768,12.5,3378,ffcg,ga
126,0.02072399847725277,1496.2090764045715,10378.46613315552,12.6,3378,ffcg,ga
127,0.004412938634420543,1508.2183787822723,10367.516887219872,12.7,3378,ffcg,ga
128,0.0006635317703178095,1520.333137512207,10357.26949930191,12.8,3378,ffcg,ga
129,0.0006256838788988221,1531.6254272460938,10341.439900243005,12.9,3378,ffcg,ga
130,0.0006311420908900198,1543.2573924064636,10327.953318412487,13.0,3378,ffcg,ga
131,0.0014571204950580203,1555.3173391819,10317.334104954742,13.100000000000001,3378,ffcg,ga
132,0.0006230933635452522,1567.3852429389954,10306.745385386726,13.200000000000001,3378,ffcg,ga
133,0.0006170746426556233,1579.5464816093445,10296.74285379926,13.3,3378,ffcg,ga
134,0.004889146232223487,1591.415514945984,10284.819671218074,13.4,3378,ffcg,ga
135,0.002343356818305217,1602.898099899292,10270.42115861398,13.5,3378,ffcg,ga
136,0.026037045744034086,1614.9927356243134,10259.953849848578,13.600000000000001,3378,ffcg,ga
137,0.00361240724212789,1627.0364637374878,10249.14210368943,13.700000000000001,3378,ffcg,ga
138,0.008270812059657011,1639.4523577690125,10240.637191281801,13.8,3378,ffcg,ga
139,0.2097302607516685,1652.0606563091278,10233.267806346466,13.900000000000002,3378,ffcg,ga
140,0.004322896149141338,1664.3119130134583,10223.630322796957,14.000000000000002,3378,ffcg,ga
141,0.001993227719639059,1675.9202103614807,10210.038728372427,14.099999999999998,3378,ffcg,ga
142,0.0007104537636741483,1688.0817782878876,10199.818068809913,14.2,3378,ffcg,ga
143,0.0007024349755125494,1700.7533798217773,10192.626898652192,14.299999999999999,3378,ffcg,ga
144,0.0018853665483176093,1713.2671542167664,10184.421416733001,14.399999999999999,3378,ffcg,ga
145,0.0015676986058665169,1725.6297717094421,10175.265205597056,14.499999999999998,3378,ffcg,ga
146,0.0006599550765093198,1738.0325291156769,10166.29986208759,14.6,3378,ffcg,ga
147,0.0006716591208395573,1749.560109615326,10152.209343550157,14.7,3378,ffcg,ga
148,0.0007202036694876409,1761.2929034233093,10139.334822409863,14.799999999999999,3378,ffcg,ga
149,0.0006690656673289326,1773.3873646259308,10128.541257024612,14.899999999999999,3378,ffcg,ga
150,0.0007099615931794921,1785.295357465744,10116.673692305883,15.0,3378,ffcg,ga
151,0.0038820374522502868,1797.3573405742645,10105.671404950666,15.1,3378,ffcg,ga
152,3.3413686972147825,1809.0333683490753,10092.501949736947,15.2,3378,ffcg,ga
153,0.002971873477245723,1820.384313583374,10077.552376504038,15.299999999999999,3378,ffcg,ga
154,0.001550386606923899,1832.5065064430237,10066.88639253765,15.4,3378,ffcg,ga
155,0.002753527490852239,1844.8418822288513,10057.36380957019,15.5,3378,ffcg,ga
156,0.0039126481176744755,1857.4127752780914,10049.079373940443,15.6,3378,ffcg,ga
157,0.0006492892607067362,1870.1063749790192,10041.399198135752,15.7,3378,ffcg,ga
158,0.0006306849438475308,1882.530363559723,10032.218772894219,15.8,3378,ffcg,ga
159,0.020742830599698475,1894.6065292358398,10021.157805580762,15.9,3378,ffcg,ga
160,0.005247091007987977,1906.5103743076324,10009.17946511507,16.0,3378,ffcg,ga
161,0.0006336151926469842,1918.7598469257355,9999.003177457715,16.1,3378,ffcg,ga
162,0.0006812925727992329,1931.127681016922,9989.413559828276,16.2,3378,ffcg,ga
163,0.007323436509340556,1943.3969039916992,9979.283488595413,16.3,3378,ffcg,ga
164,0.0010403086251115543,1955.5965130329132,9968.772468875093,16.400000000000002,3378,ffcg,ga
165,0.0006286783101901668,1966.784157037735,9953.119825009144,16.5,3378,ffcg,ga
166,0.0007648794166875823,1978.6989347934723,9941.174166372022,16.6,3378,ffcg,ga
