epoch,loss,avg_reward,baseline_variance,penalty_ratio,max_memory_load_percent,val_reward
1,117.71324284441657,1677.057767134905,293049.4131301225,0.0,15.0,
2,8.845378431415934,1931.1269724640995,276070.4250197179,0.0,15.0,
3,-0.005586368245654739,1971.676365048617,262811.9335936403,0.0,14.0,
4,-2.665616284110918,1998.8318718835114,254698.37032456422,0.0,15.0,
5,-8.416717885799095,1996.468071272403,257414.93938383245,0.0,14.0,1554.2461910896302
6,-5.0914555350798185,1999.071050255537,252950.602191443,0.0,14.0,
7,-1.2167524324950045,1996.4609914885461,254495.1313881554,0.0,15.0,
8,3.9602680521842557,2013.731523359418,246759.3051742028,0.0,15.0,
9,8.59115904680796,2066.5008738907577,265298.99365489284,0.0,15.0,
10,2.698595031576244,2083.499384047985,253928.24322219015,0.0,15.0,1642.4407001094817
11,8.245086181691029,2115.4658117189406,253419.75485245133,0.0,19.0,
12,10.006864708461842,2160.892790189028,262941.8698573251,0.0,19.0,
13,6.40185848991217,2111.677777531147,253044.52584042068,0.0,19.0,
14,12.127764422495442,2131.3304562649428,260321.7425753514,0.0,20.0,
15,13.79390913510754,2103.804841172695,253056.88567702132,0.0,19.0,1578.021047914505
16,11.674271449918223,2124.02397353673,247761.26759092606,0.0,18.0,
17,9.636191570711643,2188.4651385257093,252006.27947024853,0.0,14.0,
18,12.802626247651217,2174.948383249879,251419.8930801614,0.0,14.0,
19,8.8531844154442,2088.3046768891813,243949.4690804067,0.0,14.0,
20,13.968781115810197,2154.240417560518,251216.21086879433,0.0,15.0,1578.967791355133
21,14.80756391123505,2135.8229245465996,251345.6653062346,0.0,15.0,
22,13.59775349536468,2121.187900361404,244877.72882013494,0.0,15.0,
23,16.287463000161896,2128.6129654409883,252049.04490602028,0.0,15.0,
24,16.265804812975773,2166.294274770379,255418.72985498636,0.0,15.0,
25,15.561853258076887,2192.764022640586,250540.23589637113,0.0,15.0,1652.9712090177536
26,17.003599450493375,2150.2102294049264,244502.67116568738,0.0,15.0,
27,17.1015465187646,2091.991667815924,249338.26393954063,0.0,15.0,
28,15.526525352739103,2154.3859779964537,247867.91935944927,0.0,15.0,
29,18.682949423695888,2177.643271718681,250603.33731912964,0.0,16.0,
30,14.005643751220948,2163.4503554175867,248537.16608502474,0.0,20.0,1446.266163290024
31,15.467923089748595,2121.165623692304,244981.50644139477,0.0,21.0,
32,16.767190212504232,2187.306903627038,257103.76946151018,0.0,21.0,
33,15.557051274516587,2152.317863927722,245107.46008551077,0.0,21.0,
34,16.834986759813937,2152.304812874079,246677.94807426655,0.0,21.0,
35,17.96529332279052,2163.7101969813107,255295.71004058194,0.0,15.0,1669.5855181474685
36,17.54368966153222,2107.074439817667,244531.42937859884,0.0,15.0,
37,21.988970772612113,2211.837623092353,259189.6876406424,0.0,15.0,
38,21.37171577677052,2201.8764867235423,256866.03010108022,0.0,15.0,
39,20.262442386276685,2186.5694163211883,255038.43201224433,0.0,15.0,
40,16.696757864533403,2123.2540303757787,242496.05750832698,0.0,17.0,1562.5770023698808
41,19.214475075279363,2171.0121996560692,254459.44603586142,0.0,17.0,
42,15.199502302292682,2237.92049216507,248106.0163808268,0.0,17.0,
43,21.16942635083006,2157.0445474617777,251964.59719825423,0.0,17.0,
44,23.56003513680137,2247.7925604886414,258445.93284810553,0.0,17.0,
45,23.586616739578762,2166.804341898203,249997.1412640479,0.0,17.0,1636.6389543247221
46,-49.025659344557845,3157.9066459524634,221688.09669444,0.0,19.0,
47,-53.905038923523314,3240.506248922348,207516.2131999418,0.0,18.0,
48,-58.651443096462174,3356.3990673491953,215021.59146322822,0.0,18.0,
49,-49.67333727907918,3232.555582386017,210073.69892372884,0.0,18.0,
50,-50.368001040775795,3240.1991759274006,204936.7631679988,0.0,18.0,842.4404150657654
51,-57.001725815086274,3361.14181812793,208480.83617940123,0.0,18.0,
52,-44.180421078086596,3293.577123557985,202176.18854600049,0.0,19.0,
53,-54.44456029728497,3347.747230987787,214550.1311212948,0.0,19.0,
54,-56.67136690453428,3304.133684744641,206099.90466549777,0.0,19.0,
55,-54.163735379111024,3337.906471884787,205161.36606067387,0.0,19.0,749.989775669098
56,-48.790955228057456,3275.785057613373,203064.10599109277,0.0,19.0,
57,-38.72372423416398,3396.0783645050524,208943.8462810408,0.0,19.0,
58,-46.50056538244168,3331.4907936139107,202971.56287632574,0.0,19.0,
59,-48.16879552004166,3333.9504011697322,206069.25789995244,0.0,19.0,
60,-56.193240225690765,3305.022685925126,200744.42451610402,0.0,19.0,988.2063281211854
61,-64.96230196677428,3297.0717852474154,204128.04548161058,0.0,19.0,
62,-53.88442530404823,3293.8146293503346,198032.76582284318,0.0,19.0,
63,-55.69994927102653,3322.610737257719,200240.81991065398,0.0,19.0,
64,-63.372670949387015,3397.128211322941,205877.9806973476,0.0,19.0,
65,-50.58527358386759,3356.0204107961654,200304.11377728582,0.0,19.0,975.1122163619995
66,-50.86850255051115,3402.1609061574936,211309.644164805,0.0,19.0,
67,-49.52187232065591,3386.7528431596756,210221.17505053605,0.0,18.0,
68,-54.67742168074008,3368.5079177764655,198750.0833325402,0.0,19.0,
69,-54.11648021737253,3263.436986934334,191527.87710525584,0.0,18.0,
70,-55.357242768072055,3399.7077528829573,207641.22499511534,0.0,18.0,1214.5597286338807
71,-45.29377943053004,3352.626276707649,202575.66708881088,0.0,18.0,
72,-41.95851000569574,3292.5622604796886,197902.81831442533,0.0,18.0,
73,-58.82701562798387,3309.7305684025287,200201.15730479953,0.0,18.0,
74,-67.26767677750637,3435.928252465248,204910.2290280212,0.0,18.0,
75,-69.40130584715237,3339.2446945614815,203801.98407921285,0.0,18.0,1058.8533030281067
76,-80.85751024093514,3312.0870675385595,204917.9387855404,0.0,18.0,
77,-64.50996585443383,3185.61481975615,195114.58274537523,0.0,18.0,
78,-109.3910980032708,3492.9530905308725,208113.78862257753,0.0,18.0,
79,-104.52497060113005,3389.969665527821,205139.42738253006,0.0,21.0,
80,-141.05087868045854,3433.261683860935,216768.45253556353,0.0,21.0,1169.2666379470827
81,-158.03419083594764,3348.419416893959,206850.2822840433,0.0,22.0,
82,-229.86922822223295,3415.328722660303,235845.19055996762,0.0,22.0,
83,-190.7432120732274,3504.9625513231754,229056.31445360338,0.0,22.0,
84,-235.561962454174,3410.954758374691,235318.59881308937,0.0,23.0,
85,-205.42496009043884,3366.2753659057616,222709.2804559543,0.0,23.0,957.0348801116944
86,-193.50338132074802,3284.213604573667,219976.52209738395,0.0,23.0,
87,-167.66512507579267,3429.04896033366,218556.17480101858,0.0,24.0,
88,-131.56140920478873,3490.2292633285524,217714.10083420432,0.0,23.0,
89,-176.046573053821,3416.8461375428437,226150.025108482,0.0,23.0,
90,-156.2552206012254,3279.805462317042,215279.1115626063,0.0,23.0,869.4638592643738
91,-217.27386211124715,3475.5452951136826,232896.20017657054,0.0,23.0,
92,-242.84277589377817,3315.7873933782575,239712.91134798463,0.0,23.0,
93,-220.06839301377582,3428.0297894390224,237874.72051860532,0.0,23.0,
94,-222.8372385597292,3355.8709595103264,229037.91330534176,0.0,23.0,
95,-268.46502511230835,3415.0578035218714,245496.67692612018,0.0,23.0,931.2329573516845
96,-277.05127599557164,3380.945837013364,248597.6493035768,0.0,23.0,
97,-244.99510053893923,3544.534887178898,253743.1036703799,0.0,24.0,
98,-271.8454003928877,3412.1921750133038,242096.68935167973,0.0,24.0,
99,-253.43027328421547,3415.058002016306,239092.82756523712,0.0,26.0,
100,-190.658015049343,3351.1277089634536,224526.3929894146,0.0,26.0,1334.2575792541504
101,-227.8711869477553,3489.9115496217014,240145.2210576016,0.0,26.0,
102,-282.98300567466407,3472.4545724463464,244076.4714626781,0.0,17.0,
103,-251.05799556269724,3333.3040142085924,235575.0575729947,0.0,17.0,
104,-287.70467253948374,3458.0441398563385,253624.1799378761,0.0,17.0,
105,-284.56550505690416,3361.2541321679355,242367.41080812365,0.0,17.0,1565.0480012550354
106,-237.03133704577945,3466.450500367403,248196.6237247877,0.0,18.0,
107,-255.34049924013274,3336.5328826866744,234059.39999601038,0.0,17.0,
108,-267.00448694859654,3410.560393550873,249780.37555694,0.0,18.0,
109,-243.0449200258914,3397.151213692963,234614.4663650748,0.0,18.0,
110,-221.73998189019179,3357.281345455885,226060.48294131202,0.0,18.0,1401.5809930114747
